date,receipt,change
2025-07-28,570,
2025-07-29,570,
2025-07-30,570,0.0
2025-07-31,570,0.0
2025-08-01,570,0.0
2025-08-04,570,
2025-08-05,570,0.0
2025-08-06,570,
2025-08-07,570,0.0
2025-08-08,570,0.0
2025-08-11,1420,850.0
2025-08-12,1420,0.0
2025-08-13,1420,0.0
2025-08-14,1420,0.0
2025-08-15,1420,0.0
2025-08-18,1420,0.0
2025-08-19,1420,0.0
2025-08-20,1404,-16.0
2025-08-21,790,-614.0
2025-08-22,0,-790.0
2025-08-27,439,439.0
2025-08-28,439,0.0
2025-08-29,439,0.0
2025-09-01,439,0.0
2025-09-02,439,0.0
2025-09-03,439,0.0
2025-09-04,639,200.0
2025-09-05,639,0.0
2025-09-08,639,0.0
2025-09-09,1280,641.0
2025-09-10,1485,205.0
2025-09-11,1570,85.0
2025-09-12,1570,0.0
2025-09-15,1570,0.0
2025-09-16,1570,0.0
2025-09-17,1570,0.0
2025-09-18,1570,0.0
2025-09-19,1500,-70.0
2025-09-22,0,-1500.0
2025-09-25,410,410.0
2025-09-26,410,0.0
2025-09-29,410,0.0
2025-09-30,500,90.0
2025-10-09,500,0.0
2025-10-10,500,0.0
2025-10-13,500,0.0
2025-10-14,500,0.0
2025-10-15,500,0.0
2025-10-16,500,0.0
2025-10-17,500,0.0
2025-10-20,600,100.0
2025-10-21,600,0.0
2025-10-22,600,0.0
2025-10-23,600,0.0
2025-10-24,600,0.0
2025-10-27,600,0.0
2025-10-28,512,-88.0
2025-10-29,0,-512.0
2025-11-03,250,250.0
2025-11-04,650,400.0
2025-11-05,650,0.0
2025-11-06,650,0.0
2025-11-07,650,0.0
2025-11-10,530,-120.0
2025-11-11,530,0.0
2025-11-12,530,0.0
2025-11-13,730,200.0
2025-11-14,730,0.0
2026-01-29,450,
2026-01-30,450,0.0
2026-02-02,450,0.0
2026-02-03,450,0.0
2026-02-04,450,0.0
2026-02-05,450,0.0
2026-02-06,450,0.0
2026-02-09,450,0.0
2026-02-10,450,0.0
2026-02-11,450,0.0
2026-02-12,450,0.0
2026-02-13,450,0.0
2026-02-24,450,0.0
2026-02-25,450,0.0
2026-02-26,0,-450.0
2026-03-04,750,750.0
2026-03-05,750,0.0
2026-03-06,600,-150.0
2026-03-09,800,200.0
2026-03-10,800,0.0
2026-03-11,823,23.0
2026-03-12,823,0.0
2026-03-13,823,0.0
2026-03-16,823,0.0
2026-03-17,823,0.0
2026-03-18,823,0.0
2026-03-19,821,-2.0
2026-03-20,621,-200.0
2026-03-23,0,-621.0
2026-04-03,720,720.0
2026-04-07,1201,481.0
2026-04-08,1601,400.0
2026-04-09,1601,0.0
2026-04-10,1206,-395.0
2026-04-13,1206,0.0
2026-04-14,1416,210.0
2026-04-15,1416,0.0
2026-04-16,1416,0.0
2026-04-17,1416,0.0
2026-04-20,1416,0.0
2026-04-21,1416,0.0
2026-04-22,20,-1396.0
2026-04-23,0,-20.0
2026-04-28,2400,2400.0
2026-04-29,2400,0.0
2026-04-30,2000,-400.0
2026-05-06,500,-1500.0
2026-05-07,700,200.0
2026-05-08,700,0.0
